,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gearbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,BONFIGLIIO,,,,,Nord,,,,,,,,,,,,,,,,,,,
,Model,,,,,,,,,,,6282AFBH-132SP/4 TF,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,,,,,,202421706-100,,,,,,,,,,,,,,,,,,,
,Torque output,,,,,,,,,,,80.33,,,,,,,,,,,,,,,,,,,
,Shaft size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, Position V/H,,,,,,v,,,,,H,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverter drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flow meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application,,,,,,Feed 1,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Krohne,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,Optiflux 2000/IFC50,,,,,,,,,,,,,,,,,,,,,,,,
,Size,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,A16012933/A13010678,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application,,,,,,Feed 2,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Krohne,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,Optiflux 2000/IFC50,,,,,,,,,,,,,,,,,,,,,,,,
,Size,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,A17005885/A13010929,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application,,,,,,Poly 1,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Krohne,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,Optiflux 2050,,,,,,,,,,,,,,,,,,,,,,,,
,Size,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,A13011041,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application,,,,,,Poly 2,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Krohne,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,Optiflux 2050,,,,,,,,,,,,,,,,,,,,,,,,
,Size,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,A13011037,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Application,,,,,,Water 1,,,,,,,,,,,,,,,,,,,,,,,,
,Make,,,,,,Aquamotion,,,,,,,,,,,,,,,,,,,,,,,,
,Model,,,,,,TCM142/10-4792,,,,,,,,,,,,,,,,,,,,,,,,
,Size,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
,Serial No.,,,,,,23 004017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
